City,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,49.7,9.43,9.81,19.23,9.43,6.78,6.42,2,4.79,0.31,243,Poor
Ahmedabad,48.1,8.03,9.53,17.57,8.03,9.33,7.6,1.68,4.41,0.18,215,Poor
Ahmedabad,47.43,8.11,9.45,17.56,8.11,7.93,7.08,2.1,3.6,0.13,199,Moderate
Ahmedabad,51.74,8.91,12.38,21.28,8.91,10.05,5.78,2.15,3.64,0.27,200,Moderate
Ahmedabad,42.68,9.74,11.08,20.82,9.74,10.87,4.44,1.62,4.96,0.39,226,Poor
Ahmedabad,38.45,10.55,7.8,18.35,10.55,10.28,3.24,2.46,4.79,0.41,241,Poor
Ahmedabad,46.69,11.48,0.17,11.64,11.48,10.25,5.76,1.77,4.34,0.15,222,Poor
Ahmedabad,55.27,11.55,0.12,11.66,11.55,12.7,6.55,1.69,4.17,0.22,223,Poor
Ahmedabad,149.03,11.49,0.16,11.65,11.49,10.07,7.27,1.71,5.72,0.19,248,Poor
Ahmedabad,86.57,11.47,0.17,11.64,11.47,11.09,6.53,1.57,3.85,0.09,300,Poor
Ahmedabad,111.77,11.3,0.24,11.53,11.3,7.73,4.67,1.72,4.52,0.16,232,Poor
Ahmedabad,151.4,10.8,0.36,11.16,10.8,7.8,5.46,0.95,3.54,0.12,330,Very Poor
Ahmedabad,51.35,8,2.69,10.67,8,10,5.76,1.54,4.32,0.35,223,Poor
Ahmedabad,65.37,0.64,8.07,8.57,0.64,16.31,8.02,1.63,4.34,0.28,105,Moderate
Ahmedabad,56.28,0.6,8.02,8.51,0.6,18.93,6.2,1.52,3.74,0.29,101,Moderate
Ahmedabad,48.17,0.65,8,8.55,0.65,18.99,7.97,1.23,4.74,0.12,93,Satisfactory
Ahmedabad,33.56,0.72,7.89,8.56,0.72,11.28,10.18,0.61,3.85,0.08,67,Satisfactory
Ahmedabad,31.3,0.55,8.1,8.49,0.55,10.29,7.44,0.52,2.31,0.06,60,Satisfactory
Ahmedabad,57.11,0.55,8.28,8.42,0.55,14.58,2.6,2.81,14.53,1.87,90,Satisfactory
Ahmedabad,34.72,0.1,9.73,7.88,0.1,13.62,4.87,1.44,5.22,0.38,78,Satisfactory
Ahmedabad,29.22,0.06,9.57,7.77,0.06,13.58,5.08,1.37,3.65,0.32,48,Good
Ahmedabad,29.79,0.14,8.64,7.97,0.14,15.11,5.34,0.36,1.05,0.14,53,Satisfactory
Ahmedabad,59.95,0.18,8.78,8.16,0.18,11.52,2.79,0.52,1.23,0.22,91,Satisfactory
Ahmedabad,19.2,1.52,9.45,9.74,1.52,11.23,4.61,1.29,3.29,0.15,70,Satisfactory
Ahmedabad,19.52,5.89,11.26,17.15,5.89,11.56,4.4,0.58,1.44,0.07,157,Moderate
Ahmedabad,35.16,5.75,10.89,16.64,5.75,14.7,3.67,1.61,3.71,0.48,158,Moderate
Ahmedabad,33.03,7.01,10.58,17.58,7.01,12.95,3.53,1.65,3.96,0.37,169,Moderate
Ahmedabad,40.95,6.92,10.47,17.39,6.92,19.8,3.38,2.05,5.08,0.44,174,Moderate
Ahmedabad,40.29,6.74,10.52,17.26,6.74,8.27,3.57,1.85,4.34,0.39,173,Moderate
Ahmedabad,41.16,6.91,10.51,17.42,6.91,13.48,3.69,1.8,4.23,0.33,172,Moderate
Ahmedabad,36.12,7.21,11.56,17.07,7.21,13.62,6.08,1.67,2.85,0.11,190,Moderate
Ahmedabad,28.51,6.69,20.52,27.21,6.69,5.69,7.65,1.36,2.17,0.09,171,Moderate
Ahmedabad,31.59,6.99,20.42,27.41,6.99,9.23,7.9,0.72,2.29,0.12,168,Moderate
Ahmedabad,42.56,7.17,20.4,27.57,7.17,6.28,9.86,1.36,2.94,0.28,172,Moderate
Ahmedabad,48.12,7.14,20.3,27.45,7.14,6.77,12.78,1.22,3.39,0.26,173,Moderate
Ahmedabad,37.09,7.22,20.21,27.42,7.22,8.66,7.94,0.86,2.98,0.16,175,Moderate
Ahmedabad,33.4,7.4,20.09,27.5,7.4,9.95,8.39,0.8,2.13,0.07,179,Moderate
Ahmedabad,38.64,7.35,20.21,27.55,7.35,9.74,6.28,1.31,2.8,0.27,174,Moderate
Ahmedabad,40.49,7.48,20.23,27.71,7.48,8.92,21.51,1.17,3,0.11,176,Moderate
Ahmedabad,41.37,7.47,20.2,27.68,7.47,11.73,19.8,1.82,2.85,0.17,179,Moderate
Ahmedabad,44.56,7.49,20.06,27.55,7.49,11.23,22.77,1.38,3.36,0.44,175,Moderate
Ahmedabad,65.68,7.57,19.94,27.51,7.57,8.21,30.21,3.62,5.79,1,177,Moderate
Ahmedabad,33.34,7.3,20.27,27.57,7.3,6.41,32.95,0,0,0.02,175,Moderate
Ahmedabad,39.17,7.35,20.24,27.58,7.35,9.17,26.64,0.79,0.76,0.14,174,Moderate
Ahmedabad,34,7.41,20.1,27.51,7.41,9.64,17.17,1.21,1.8,0.15,179,Moderate
Ahmedabad,36.38,7.31,20.14,27.45,7.31,10.65,13.35,2,4.33,0.35,177,Moderate
Ahmedabad,38.35,7.41,20.16,27.57,7.41,9.33,18.59,1.63,3.74,0.35,180,Moderate
Ahmedabad,38.5,12.38,19.67,30.02,12.38,10.37,16.33,1.56,2.97,0.42,274,Poor
Ahmedabad,39.61,17.31,14.84,32.15,17.31,10.76,5.38,1.67,3.17,0.24,310,Very Poor
Ahmedabad,61.79,17.24,14.82,32.06,17.24,12.39,8.06,0.91,1.81,0.2,303,Very Poor
Ahmedabad,43.22,17.17,14.82,31.99,17.17,11.68,37.87,1.29,3.06,0.14,302,Very Poor
Ahmedabad,33.41,17.12,14.86,31.98,17.12,12.96,86.83,1.08,2.1,0.05,302,Very Poor
Ahmedabad,36.9,17.08,14.85,31.93,17.08,4.73,54.01,0.91,1.25,0.16,302,Very Poor
Ahmedabad,36.36,17.11,14.79,31.9,17.11,8.86,77.3,0,0,0.06,302,Very Poor
Ahmedabad,32.64,17.01,14.84,31.85,17.01,7.05,62.31,0,0,0.01,302,Very Poor
Ahmedabad,38.23,17.07,14.89,31.96,17.07,10.9,55.94,0,0,0.01,302,Very Poor
Ahmedabad,39.86,16.98,14.83,31.81,16.98,10.02,96.83,0,0.01,0.02,301,Very Poor
Ahmedabad,72.74,17.04,14.84,31.88,17.04,4.23,99.03,0,0,0,302,Very Poor
Ahmedabad,43.2,17.05,14.86,31.91,17.05,5.96,59.99,0,0,0.11,302,Very Poor
Ahmedabad,63.2,17.03,14.82,31.85,17.03,3.69,7.57,0,0,0,302,Very Poor
Ahmedabad,64.73,17.01,14.82,31.83,17.01,6.45,12.13,0,0,0,302,Very Poor
Ahmedabad,65.28,17.04,14.85,31.89,17.04,6.13,18.2,0,0,0,301,Very Poor
Ahmedabad,67.86,16.97,14.87,31.84,16.97,8.87,16.53,0,0,0,302,Very Poor
Ahmedabad,52.4,16.97,14.81,31.78,16.97,9.89,22.55,0,0,0,301,Very Poor
Ahmedabad,33.33,16.95,14.89,31.84,16.95,6.88,33.58,0,0,0,302,Very Poor
Ahmedabad,29.52,16.94,14.88,31.82,16.94,8.56,40.65,0,0,0.02,301,Very Poor
Ahmedabad,15.53,17,14.85,31.85,17,15.13,34.18,0,0,0,301,Very Poor
Ahmedabad,50.24,9.46,12.31,21.77,9.46,11.63,13.61,0,3.42,0.29,226,Poor
Ahmedabad,61.77,8.68,15.43,24.1,8.68,8.1,18.69,0,4.83,0.38,276,Poor
Ahmedabad,46.93,7.14,11.47,18.61,7.14,7.92,19.03,0,3.08,0.12,209,Poor
Ahmedabad,43.01,6.82,9.96,16.78,6.82,11.58,20.59,0,2.5,0.13,179,Moderate
Ahmedabad,42.06,8.43,11.35,19.78,8.43,11.63,28.09,0,3.19,0.2,197,Moderate
Ahmedabad,44.94,7.14,10.94,18.07,7.14,5.85,59.38,0,2.21,0.24,229,Poor
Ahmedabad,29.58,6.61,9.94,16.55,6.61,8.82,42.9,0,1.87,0.13,170,Moderate
Ahmedabad,32.15,6.5,9.7,16.2,6.5,9.2,39.02,0,2.73,0.19,164,Moderate
Ahmedabad,36.33,7.68,12.88,20.56,7.68,8.28,43.35,0,4.29,0.36,195,Moderate
Ahmedabad,24.46,8.45,10.99,19.44,8.45,12.59,44.55,0,2.52,0.17,220,Poor
Ahmedabad,59.29,9.21,9.68,18.89,9.21,5.98,7.69,0,3.24,0.19,217,Poor
Ahmedabad,65.32,10.61,9.62,20.23,10.61,3.69,4.74,0,3.63,0.24,254,Poor
Ahmedabad,47.39,9.26,10.48,19.74,9.26,7.72,7.71,0,3.41,0.21,241,Poor
Ahmedabad,43.88,8.69,19.75,28.44,8.69,4.83,11.53,0,3.24,0.16,244,Poor
Ahmedabad,28.35,9.05,13.62,22.68,9.05,7.47,15.95,0,3.26,0.21,243,Poor
Ahmedabad,3.59,11.26,14.17,25.44,11.26,9.6,20.38,0,4.02,0.46,244,Poor
Ahmedabad,3.04,16.31,21.5,37.81,16.31,13.73,30.05,0.02,9.33,0.81,327,Very Poor
Ahmedabad,19.14,10.33,30.6,40.93,10.33,10.96,29.36,0,8.36,1,390,Very Poor
Ahmedabad,69.12,8.85,32.41,41.26,8.85,15.63,28.45,0,7.16,0.73,231,Poor
Ahmedabad,76.41,17.96,34.7,52.67,17.96,15.44,31.49,0,7.51,1.15,396,Very Poor
Ahmedabad,102.49,33.31,37.85,71.17,33.31,27.32,24.85,19.81,51.29,15.05,731,Severe
Ahmedabad,127.94,11.14,28.38,39.52,11.14,25.59,15.17,8.14,29.23,3.24,466,Severe
Ahmedabad,87.18,7.83,21.51,29.34,7.83,6.98,23.17,5.59,17.26,2.28,230,Poor
